ID|Names|Levels|GoodsIn|GUIDExt|GUIDExtParent|
000000115|Утеплитель напыляемый|2|1|b80b17bc-3ffb-11e8-a200-88d7f6d608b5|b80b17b3-3ffb-11e8-a200-88d7f6d608b5
000000117|Утеплитель фольгированный|2|1|b80b17be-3ffb-11e8-a200-88d7f6d608b5|b80b17b3-3ffb-11e8-a200-88d7f6d608b5
000000119|Экструдированный|2|1|b80b17c0-3ffb-11e8-a200-88d7f6d608b5|b80b17b3-3ffb-11e8-a200-88d7f6d608b5
000000121|Сайдинг и фасадные панели|1|0|b80b17c2-3ffb-11e8-a200-88d7f6d608b5|bf9cc57c-3ffb-11e8-a200-88d7f6d608b5
000000122|Сайдинг виниловй|2|1|b80b17c3-3ffb-11e8-a200-88d7f6d608b5|b80b17c2-3ffb-11e8-a200-88d7f6d608b5
000000124|Фасадные панели|2|1|b80b17c5-3ffb-11e8-a200-88d7f6d608b5|b80b17c2-3ffb-11e8-a200-88d7f6d608b5
000000126|Сетка|1|0|b80b17c7-3ffb-11e8-a200-88d7f6d608b5|b80b174b-3ffb-11e8-a200-88d7f6d608b5
000000127|Проволока колючая|2|1|b80b17c8-3ffb-11e8-a200-88d7f6d608b5|b80b17c7-3ffb-11e8-a200-88d7f6d608b5
000000129|Сетка сварная в картах|2|1|b80b17ca-3ffb-11e8-a200-88d7f6d608b5|b80b17c7-3ffb-11e8-a200-88d7f6d608b5
000000131|Сетка сварная в рулонах|2|1|b80b17cc-3ffb-11e8-a200-88d7f6d608b5|b80b17c7-3ffb-11e8-a200-88d7f6d608b5
000000133|Сетка штукатурная|2|1|b80b17ce-3ffb-11e8-a200-88d7f6d608b5|b80b17c7-3ffb-11e8-a200-88d7f6d608b5
000000135|Сетка-рабица|2|1|b80b17d0-3ffb-11e8-a200-88d7f6d608b5|b80b17c7-3ffb-11e8-a200-88d7f6d608b5
000000137|Сухие строительные смеси, гидроизоляция|1|0|b80b17d2-3ffb-11e8-a200-88d7f6d608b5|b80b174b-3ffb-11e8-a200-88d7f6d608b5
000000138|Алебастр, Гипс, побелка|2|1|b80b17d3-3ffb-11e8-a200-88d7f6d608b5|b80b17d2-3ffb-11e8-a200-88d7f6d608b5
000000140|Антигололед|2|1|b80b17d5-3ffb-11e8-a200-88d7f6d608b5|b80b17d2-3ffb-11e8-a200-88d7f6d608b5
000000142|Гидроизоляция сухая|2|1|b80b17d7-3ffb-11e8-a200-88d7f6d608b5|b80b17d2-3ffb-11e8-a200-88d7f6d608b5
000000144|Затирка|2|1|b80b17d9-3ffb-11e8-a200-88d7f6d608b5|b80b17d2-3ffb-11e8-a200-88d7f6d608b5
000000146|Клей|2|1|b80b17db-3ffb-11e8-a200-88d7f6d608b5|b80b17d2-3ffb-11e8-a200-88d7f6d608b5
000000148|Наливной пол|2|1|b80b17dd-3ffb-11e8-a200-88d7f6d608b5|b80b17d2-3ffb-11e8-a200-88d7f6d608b5
000000150|Печные смеси|2|1|b80b17df-3ffb-11e8-a200-88d7f6d608b5|b80b17d2-3ffb-11e8-a200-88d7f6d608b5
000000152|Цементные смеси|2|1|b80b17e1-3ffb-11e8-a200-88d7f6d608b5|b80b17d2-3ffb-11e8-a200-88d7f6d608b5
000000154|Шпатлевка|2|1|b80b17e3-3ffb-11e8-a200-88d7f6d608b5|b80b17d2-3ffb-11e8-a200-88d7f6d608b5
000000156|Штукатурка|2|1|b80b17e5-3ffb-11e8-a200-88d7f6d608b5|b80b17d2-3ffb-11e8-a200-88d7f6d608b5
