^М/черепица Монтерей (0,4) 1180х3650 мм 8017 Коричневый (Заказ)^|^^||1 210|0|0|0|0|e7e37162-26e3-11e5-84e4-d850e649679d|00000000-0000-0000-0000-000000000000||
^М/черепица Монтерей (0,4) 1180х1500 мм 8017 Коричневый (Заказ)^|^^||500|0|0|0|0|e7e37166-26e3-11e5-84e4-d850e649679d|00000000-0000-0000-0000-000000000000||
^М/черепица Монтерей (0,4) 1180х2250 мм 8017 Коричневый (Заказ)^|^^||745|0|0|0|0|e7e3716b-26e3-11e5-84e4-d850e649679d|00000000-0000-0000-0000-000000000000||
^М/черепица Монтерей (0,4) 1180х850 мм 8017 Коричневый (Заказ)^|^^||285|0|0|0|0|e7e3716f-26e3-11e5-84e4-d850e649679d|00000000-0000-0000-0000-000000000000||
^Фасад.панель FINE BER Кирпич Бежевый 1137х470 мм (0,46 м2) (Заказ)^|^^|||0|0|0|1|d4a4ac99-14d5-11e5-84e6-d850e649679d|00000000-0000-0000-0000-000000000000||
^Фасад.панель FINE BER Кирпич Обожжен.Красный 1137х470 мм (0,46 м2) (Заказ)^|^^||505|0|0|0|0|d4a4ac9e-14d5-11e5-84e6-d850e649679d|00000000-0000-0000-0000-000000000000||
^Фасад.панель FINE BER Камень Бежевый 1137х470 мм (0,46 м2) (Заказ)^|^^||579|0|0|0|1|d4a4acab-14d5-11e5-84e6-d850e649679d|00000000-0000-0000-0000-000000000000||
^Фасад.панель FINE BER Дикий Камень Жемчужный 1117х463 мм (0,44 м2) (Заказ)^|^^|||0|0|0|1|cd9fc0bc-14fa-11e5-84e6-d850e649679d|00000000-0000-0000-0000-000000000000||
^Фасад.панель FINE BER Дикий Камень Коричневый 1117х463 мм (0,44 м2) (Заказ)^|^^|||0|0|0|1|cd9fc0c1-14fa-11e5-84e6-d850e649679d|00000000-0000-0000-0000-000000000000||
^Фасад.панель FINE BER Сланец Мелован.Белый 1137х470 мм (0,46 м2) (Заказ)^|^^|||0|0|0|0|cd9fc0c6-14fa-11e5-84e6-d850e649679d|00000000-0000-0000-0000-000000000000||
^Фасад.панель FINE BER Сланец Бежевый 1137х470 мм (0,46 м2) (Заказ)^|^^|||0|0|0|0|cd9fc0cb-14fa-11e5-84e6-d850e649679d|00000000-0000-0000-0000-000000000000||
^Фасад.панель FINE BER Сланец Терракотовый 1137х470 мм (0,46 м2) (Заказ)^|^^|||0|0|0|0|cd9fc0d0-14fa-11e5-84e6-d850e649679d|00000000-0000-0000-0000-000000000000||
^Профнастил С-8 (0,5) 1,20(1,15)х2 м Светл.Дерево ^|^^||1 110|0|0|0|0|aaa07687-156f-11e5-84e6-d850e649679d|00000000-0000-0000-0000-000000000000||
^Планка угла наружн.90х30х2000 мм 8017 Коричневый (Заказ)^|^^||210|0|0|0|0|d8287882-15bb-11e5-84e6-d850e649679d|00000000-0000-0000-0000-000000000000||
